iter	Logloss
0	0.6882982394
1	0.6843840189
2	0.6797477617
3	0.6764494775
4	0.6728249198
5	0.6689834578
6	0.6661427672
7	0.6631098298
8	0.6601034776
9	0.6572981049
10	0.6538782677
11	0.6508775279
12	0.6466492498
13	0.6424745188
14	0.6384310113
15	0.6361736073
16	0.6319959579
17	0.6302198004
18	0.6282602342
19	0.6258001445
20	0.624085252
21	0.6219171871
22	0.6201886888
23	0.6182951908
24	0.616737531
25	0.6144876735
26	0.6123546146
27	0.6109663237
28	0.6087071502
29	0.606836076
30	0.605445268
31	0.60384977
32	0.6008817586
33	0.5994268269
34	0.5977940044
35	0.5965892254
36	0.5957278528
37	0.5950315496
38	0.5938764012
39	0.5927158585
40	0.5916764156
41	0.5903702226
42	0.5877679379
43	0.5869994538
44	0.5863000588
45	0.5856345146
46	0.5840128015
47	0.5829338162
48	0.5819498342
49	0.5811039931
50	0.579651314
51	0.5783738733
52	0.5765481894
53	0.5746004441
54	0.5733547121
55	0.5725496331
56	0.5715056988
57	0.569694471
58	0.568102022
59	0.5658950982
60	0.5643697798
61	0.5634644902
62	0.5621191182
63	0.5618596267
64	0.5602384785
65	0.5596687973
66	0.5585541104
67	0.5571313192
68	0.5554979432
69	0.5546611728
70	0.5532677569
71	0.5522806372
72	0.551285022
73	0.5495435878
74	0.54798556
75	0.5462533859
76	0.5454042631
77	0.5440042124
78	0.5434470306
79	0.5425557459
80	0.541356696
81	0.5389470183
82	0.5370879308
83	0.5365487238
84	0.5358279922
85	0.5351356672
86	0.533163501
87	0.5323651359
88	0.5313561277
89	0.5299966365
90	0.5288173038
91	0.528349679
92	0.5279632921
93	0.527680757
94	0.5261398431
95	0.5258553862
96	0.5244952306
97	0.5219936527
98	0.5213066974
99	0.520559651
100	0.5195461223
101	0.5187795387
102	0.5178967491
103	0.5167499695
104	0.5162885335
105	0.515132987
106	0.5138890788
107	0.5127750193
108	0.5115804853
109	0.5109768904
110	0.5096941334
111	0.509259422
112	0.5085536796
113	0.5071408073
114	0.5066043725
115	0.5059833453
116	0.5054617553
117	0.5050953041
118	0.5049631316
119	0.503842454
120	0.5032471739
121	0.5028621813
122	0.5014024099
123	0.501088031
124	0.4994909172
125	0.4991444185
126	0.4989592652
127	0.4980823818
128	0.4976182094
129	0.4957313583
130	0.4952493654
131	0.4944997523
132	0.4940462083
133	0.492488417
134	0.4915495466
135	0.490900802
136	0.4900726886
137	0.4898148651
138	0.4890580207
139	0.4881178747
140	0.4859539658
141	0.4855751091
142	0.4853283415
143	0.4848188995
144	0.4832569713
145	0.4826461873
146	0.4815255107
147	0.481100647
148	0.4784509004
149	0.477574903
150	0.4768081964
151	0.4756390275
152	0.4750711981
153	0.473969527
154	0.4727180433
155	0.4721286373
156	0.4717041314
157	0.4707868427
158	0.4705010984
159	0.4698560374
160	0.4691708306
161	0.4689135389
162	0.4678915263
163	0.4675777273
164	0.4674763244
165	0.467259574
166	0.465846937
167	0.4655138859
168	0.465168837
169	0.4646701001
170	0.4643808746
171	0.4637834267
172	0.463425536
173	0.462750468
174	0.4617859433
175	0.46026367
176	0.4591027078
177	0.4571064756
178	0.4565781412
179	0.4558275612
180	0.4543200014
181	0.4540755621
182	0.4539215695
183	0.4536170085
184	0.4525688692
185	0.4520830963
186	0.4513095852
187	0.4511155008
188	0.4499933971
189	0.4486408972
190	0.4471528233
191	0.4461466867
192	0.4451493997
193	0.4445820889
194	0.4428708164
195	0.4425785449
196	0.4420046615
197	0.4410652534
198	0.4406711919
199	0.4403907694
200	0.4388666309
201	0.4380468978
202	0.4368747368
203	0.4348661928
204	0.4335922237
205	0.4317173609
206	0.4305190672
207	0.4295005865
208	0.4290328178
209	0.4281314552
210	0.4271600543
211	0.4261091736
212	0.4247048
213	0.4227178781
214	0.4218758011
215	0.4196200796
216	0.4169268004
217	0.4148721715
218	0.4133842696
219	0.4121993122
220	0.4119718111
221	0.4113889366
222	0.4103255763
223	0.4094925715
224	0.4076820516
225	0.4060144728
226	0.4053451278
227	0.4050225416
228	0.4044229365
229	0.4042022989
230	0.4031398482
231	0.402354843
232	0.4015327099
233	0.4004545242
234	0.4002515056
235	0.3998362522
236	0.3986370204
237	0.3969029293
238	0.3968373753
239	0.3963579494
240	0.3952804539
241	0.393837962
242	0.3932579473
243	0.3921994179
244	0.3917511394
245	0.3906174857
246	0.3898487841
247	0.3887687279
248	0.3877501334
249	0.3867929427
250	0.3860484438
251	0.3849541448
252	0.3839599153
253	0.382798999
254	0.3809880261
255	0.3800065981
256	0.3790547754
257	0.3779735718
258	0.3765167092
259	0.3756756868
260	0.3744615683
261	0.3732466142
262	0.3723978424
263	0.3721932954
264	0.3716203676
265	0.3709202069
266	0.3706617604
267	0.3695827486
268	0.368073313
269	0.3665853004
270	0.3663173116
271	0.3658633103
