iter	Logloss
0	0.6877276273
1	0.6810594971
2	0.674624285
3	0.6689920705
4	0.6648222252
5	0.6592288429
6	0.6546270146
7	0.6501174576
8	0.646620272
9	0.6435646089
10	0.6388962514
11	0.6331310024
12	0.6284868414
13	0.6254022371
14	0.6219935689
15	0.6187135336
16	0.6160291338
17	0.6126002248
18	0.6101878449
19	0.6081596382
20	0.6045641173
21	0.6012942157
22	0.5987867545
23	0.5966200488
24	0.5943378835
25	0.5912034391
26	0.5877254424
27	0.5859399292
28	0.5838642617
29	0.5806356942
30	0.5778657911
31	0.5755359601
32	0.5734061797
33	0.5694550244
34	0.5673952558
35	0.5660326729
36	0.5638068113
37	0.5613290465
38	0.5601818316
39	0.5578967729
40	0.5563848678
41	0.5536305649
42	0.5523576091
43	0.5495324531
44	0.5481420629
45	0.5467873324
46	0.5450414294
47	0.542125585
48	0.5409191346
49	0.5401821529
50	0.5369859753
51	0.5334348917
52	0.5320852181
53	0.5305088153
54	0.5291248853
55	0.5278720799
56	0.5255636054
57	0.5226317012
58	0.5214638338
59	0.5200041926
60	0.5187691034
61	0.517052866
62	0.5145233944
63	0.5130869662
64	0.5116269505
65	0.5103383488
66	0.5094668219
67	0.5074724014
68	0.5065205174
69	0.504614317
70	0.5027969274
71	0.5013406717
72	0.4997316999
73	0.4989834761
74	0.4986295644
75	0.497661196
76	0.4970350154
77	0.4957384973
78	0.4949856819
79	0.4919142456
80	0.4910114686
81	0.4895911054
82	0.4887366512
83	0.4865443041
84	0.4842982984
85	0.4832952462
86	0.4826675651
87	0.4810301875
88	0.4790072655
89	0.4765661925
90	0.4751979149
91	0.4745795511
92	0.4728739537
93	0.4723806097
94	0.4703887576
95	0.4690277942
96	0.4686986609
97	0.4677646508
98	0.4653666001
99	0.4647427837
100	0.4642025988
101	0.4620736845
102	0.4608742231
103	0.4600461778
104	0.459048846
105	0.4580498257
106	0.457209635
107	0.4562522234
108	0.4543518413
109	0.4528375457
110	0.4523342003
111	0.4515640529
112	0.4509706075
113	0.4477926026
114	0.4472948841
115	0.4466435963
116	0.444181419
117	0.443365373
118	0.4420356493
119	0.4413925291
120	0.4410006444
121	0.4399315429
122	0.4386042717
123	0.4370973998
124	0.4360611326
125	0.4350782757
126	0.4337353332
127	0.4328588355
128	0.4317427207
129	0.4313385875
130	0.4289966835
131	0.4280961037
132	0.4267886953
133	0.4257766806
134	0.4253107658
135	0.4240762799
136	0.4222312301
137	0.4210452869
138	0.4182053206
139	0.4177832787
140	0.4171280624
141	0.4161717459
142	0.4157481585
143	0.4152268413
144	0.4143070904
145	0.4137776354
146	0.4131829075
147	0.4125552648
148	0.4117317975
149	0.411043164
150	0.4098589638
151	0.4090852529
152	0.4085377319
153	0.4066434769
154	0.405908326
155	0.4055577455
156	0.404267246
157	0.4027234271
158	0.4020884604
159	0.4014702388
160	0.3989841217
161	0.3982857319
162	0.3977518089
163	0.3965700388
164	0.394932992
165	0.3936638806
166	0.393516161
167	0.3927817363
168	0.3921294666
169	0.3895356741
170	0.3878870178
171	0.3869572161
172	0.3853409103
173	0.3849006774
174	0.384161135
175	0.383099497
176	0.3820335003
177	0.3805978463
178	0.3784668043
179	0.3776644176
180	0.3768742304
181	0.374900213
182	0.3733407112
183	0.3723480286
184	0.3716913944
185	0.3707893342
186	0.3696866135
187	0.3682796073
188	0.3673614384
189	0.3662629168
190	0.3645247279
191	0.3633381404
192	0.3621563949
193	0.3602420716
194	0.3596487243
195	0.3591899473
196	0.3577031499
197	0.3557556124
198	0.3543160983
199	0.3520673373
200	0.3499430369
201	0.3493558862
202	0.348598485
203	0.3481861931
204	0.3471391925
205	0.346018107
206	0.3457233011
207	0.3438058108
208	0.3427952891
209	0.3415458702
210	0.3413193909
211	0.3408172854
212	0.3403817884
213	0.3392599534
214	0.339142297
215	0.337455856
216	0.3373762826
217	0.336151746
218	0.3343754784
219	0.3320282938
220	0.3301179237
221	0.3291508544
222	0.3288173631
223	0.3272885037
224	0.3259493161
225	0.3243354372
226	0.3232036578
227	0.3214753879
228	0.3202939406
229	0.3187793575
230	0.3183293124
231	0.316142135
232	0.3146744596
233	0.3132092425
234	0.3116666444
235	0.3103635109
236	0.3087318492
237	0.3073298193
238	0.3060033618
239	0.3047431102
240	0.3027413696
241	0.3012703787
242	0.2999318772
243	0.2987603764
244	0.2970293489
245	0.2958941591
246	0.29505449
247	0.2940956662
248	0.2924806747
249	0.2916740933
250	0.2908341809
251	0.2900911805
252	0.2893913201
253	0.2881324289
254	0.2862902951
255	0.2851389348
256	0.2843808448
257	0.2826549545
258	0.2807193214
259	0.2793922214
260	0.2777932876
261	0.2754571771
262	0.2750854436
263	0.2741715986
264	0.2727202504
265	0.2713007186
266	0.2702205008
267	0.2693986318
268	0.2684442407
269	0.2673218464
270	0.2669904808
271	0.2651752056
272	0.2639502969
273	0.2635048906
274	0.2618051133
275	0.2616060354
276	0.2613739553
277	0.2603031621
278	0.2601829835
279	0.2588685017
280	0.2573796913
281	0.2572310006
282	0.2561897664
283	0.2550628552
284	0.253723732
285	0.2525680231
286	0.25186185
287	0.2507798696
288	0.2500841901
289	0.2484589507
290	0.2472310246
291	0.2457295254
292	0.245494485
293	0.2445218987
294	0.2436532951
295	0.2429617459
296	0.242004274
297	0.2405619549
298	0.2402336515
299	0.2389221354
300	0.2377597122
301	0.2374279565
302	0.2372019385
303	0.2366219342
304	0.236024625
305	0.2343093099
306	0.233197303
307	0.2318903956
308	0.2304330136
309	0.2292119921
310	0.228495488
311	0.2272972706
312	0.2266737131
313	0.225323924
314	0.2240030015
315	0.2234323879
316	0.2219713328
317	0.2216016618
318	0.2210372573
319	0.2205605891
320	0.2192760911
