iter	Logloss
0	0.6880531235
1	0.6847102539
2	0.6819064333
3	0.6780849888
4	0.6718761019
5	0.6674838971
6	0.6642127833
7	0.6614191606
8	0.6580796292
9	0.6537862962
10	0.6511190755
11	0.6474831666
12	0.6446156547
13	0.6425082147
14	0.6401980507
15	0.637884882
16	0.6350661199
17	0.6328641635
18	0.6307645759
19	0.6276213922
20	0.6263826111
21	0.6250145823
22	0.6235486974
23	0.6204327879
24	0.6187981767
25	0.6156937871
26	0.6147398254
27	0.6130299798
28	0.6112559209
29	0.6101772546
30	0.6089733201
31	0.6079936819
32	0.6074657973
33	0.6064557202
34	0.6045979937
35	0.6036448782
36	0.6022411417
37	0.6002891906
38	0.5977716966
39	0.5961778642
40	0.5941592915
41	0.5932085427
42	0.5920053935
43	0.5911469673
44	0.5894704131
45	0.5883702777
46	0.5874336242
47	0.5865618965
48	0.5857965767
49	0.5850201539
50	0.5835654747
51	0.5820364762
52	0.5809257527
53	0.5799399871
54	0.5780821583
55	0.5770198787
56	0.5762579209
57	0.575031845
58	0.5734559127
59	0.5724051973
60	0.571995606
61	0.5700320523
62	0.5686372099
63	0.5676896682
64	0.5669953434
65	0.5663790029
66	0.5651279483
67	0.5636008471
68	0.5613129021
69	0.5602392807
70	0.5591661124
71	0.5585555716
72	0.5579241048
73	0.5556142259
74	0.5541533478
75	0.5534584158
76	0.5515528839
77	0.5507202789
78	0.5497583695
79	0.5488499644
80	0.5482631285
81	0.5478135318
82	0.5463086835
83	0.5454359325
84	0.5446286495
85	0.5423280377
86	0.5415461901
87	0.5398757579
88	0.5392841562
89	0.5371942449
90	0.5351841783
91	0.5345898856
92	0.5338610129
93	0.5333947795
94	0.5326607166
95	0.5318022968
96	0.5311504793
97	0.5296876492
98	0.5288691636
99	0.5273849216
100	0.5269327326
101	0.526523847
102	0.523902274
103	0.5235286764
104	0.5225860813
105	0.5216946762
106	0.5210390149
107	0.5191768887
108	0.5186307968
109	0.5173299958
110	0.5168965142
111	0.5164624487
112	0.5152377442
113	0.5145900577
114	0.5139916817
115	0.5124308588
116	0.5114889998
117	0.5107362017
118	0.5102532989
119	0.5093739829
120	0.508806359
121	0.5079903368
122	0.5077784506
123	0.5065685795
124	0.5062164195
125	0.5046897925
126	0.5036242362
127	0.5027926545
128	0.5018990336
129	0.50143335
130	0.5009334602
131	0.499522278
132	0.4984352283
133	0.4978722642
134	0.4976196808
135	0.4969410376
136	0.4963754795
137	0.4959439921
138	0.4955481898
139	0.4944485537
140	0.4938330089
141	0.4934853913
142	0.4924296193
143	0.4916951942
144	0.4913054741
145	0.4893873563
146	0.4882934538
147	0.4863631693
148	0.4832283945
149	0.483004213
150	0.4826735546
151	0.4819868757
152	0.4812827289
153	0.4806909607
154	0.4798162721
155	0.4794516901
156	0.479339201
157	0.4789949794
158	0.4784869498
159	0.4777594576
160	0.4766737132
161	0.4757674076
162	0.4746442921
163	0.4744034566
164	0.4733636599
165	0.4727585544
166	0.4719505084
167	0.4705975399
168	0.4701082354
169	0.469548349
170	0.4681039141
171	0.4660628712
172	0.4650662027
173	0.464165732
174	0.4633232951
175	0.4632304363
176	0.4624297576
177	0.4614170218
178	0.459953257
179	0.4592218195
180	0.4589923104
181	0.4576117896
182	0.4565905002
183	0.4552608923
184	0.4549095871
185	0.45345491
186	0.4520508868
187	0.4514222697
188	0.4507475721
189	0.4502752059
190	0.4493854531
191	0.4489432313
192	0.4474524396
193	0.4466152215
194	0.4464198672
195	0.4452992358
196	0.4423341629
197	0.4398479706
198	0.4379974011
199	0.4356495482
200	0.4351761241
201	0.4340455989
202	0.4329722115
203	0.4317480053
204	0.4309997778
205	0.4297559725
206	0.4290003691
207	0.4286015407
208	0.4274555242
209	0.4272719258
210	0.4267028911
211	0.4249792608
212	0.4233256325
213	0.4231821894
214	0.4215218006
215	0.420856702
216	0.4192205747
217	0.4181137214
218	0.4173860976
219	0.4162390214
220	0.4157930796
221	0.4153322742
222	0.413953341
223	0.4121024886
224	0.4107749196
225	0.4100260553
226	0.4088809539
227	0.4078529462
228	0.4060978559
229	0.4046027325
230	0.4038913691
231	0.4017533613
232	0.4012568775
233	0.4002455019
234	0.3986649074
235	0.3976093512
236	0.3965569259
237	0.3953468824
238	0.3935029391
239	0.3926100549
240	0.3918077327
241	0.3896969725
242	0.3871570642
243	0.3863318017
244	0.3847029857
245	0.384064326
246	0.3823707413
247	0.380530486
248	0.3784477199
249	0.3774826755
250	0.3768946069
251	0.3746046373
252	0.3738584028
253	0.3721745
254	0.3718358203
255	0.3702803927
256	0.3690076262
257	0.3675984788
258	0.3661330144
259	0.3654105515
260	0.3638153375
261	0.3627992566
262	0.3602875449
