app_id;status_3;status_20;status_30;status_60
000000020;0.0;0.0;0.0;0.0
000000024;1.0;1.0;1.0;1.0
000000025;1.0;1.0;1.0;1.0
000000026;0.0;0.0;0.0;0.0
000000034;0.0;0.0;0.0;0.0
000000044;1.0;1.0;1.0;1.0
000000053;0.0;0.0;0.0;0.0
000000051;1.0;1.0;1.0;1.0
000000059;1.0;1.0;1.0;1.0
000000072;1.0;1.0;1.0;1.0
000000093;1.0;1.0;1.0;1.0
000000096;0.0;0.0;0.0;0.0
000000098;1.0;1.0;1.0;1.0
000000100;1.0;1.0;1.0;1.0
000000102;1.0;1.0;1.0;1.0
000000106;0.0;0.0;0.0;0.0
000000104;0.0;0.0;0.0;0.0
000000134;0.0;0.0;0.0;0.0
000000144;0.0;0.0;0.0;0.0
000000153;1.0;1.0;1.0;1.0
000000152;1.0;1.0;1.0;1.0
000000138;1.0;0.0;0.0;0.0
000000148;0.0;0.0;0.0;0.0
000000159;0.0;0.0;0.0;0.0
000000169;1.0;1.0;1.0;1.0
000000175;1.0;1.0;1.0;1.0
000000195;0.0;0.0;0.0;0.0
000000198;0.0;0.0;0.0;0.0
000000197;1.0;1.0;1.0;1.0
000000217;1.0;1.0;1.0;1.0
000000225;1.0;1.0;1.0;1.0
000000244;1.0;1.0;1.0;1.0
000000229;1.0;1.0;1.0;1.0
000000239;1.0;1.0;1.0;1.0
000000254;1.0;1.0;1.0;1.0
000000285;0.0;0.0;0.0;0.0
000000252;1.0;1.0;1.0;1.0
000000322;1.0;1.0;1.0;1.0
000000354;0.0;0.0;0.0;0.0
000000360;1.0;1.0;1.0;1.0
000000366;1.0;1.0;1.0;1.0
000000351;0.0;0.0;0.0;0.0
000000306;0.0;0.0;0.0;0.0
000000341;1.0;1.0;1.0;1.0
000000375;1.0;0.0;0.0;0.0
000000410;1.0;1.0;1.0;1.0
000000433;1.0;1.0;1.0;1.0
000000406;1.0;1.0;1.0;1.0
000000423;1.0;0.0;0.0;0.0
000000377;0.0;0.0;0.0;0.0
000000443;0.0;0.0;0.0;0.0
000000378;1.0;1.0;1.0;1.0
000000459;1.0;1.0;1.0;1.0
000000437;1.0;1.0;1.0;1.0
000000389;0.0;0.0;0.0;0.0
000000472;1.0;1.0;1.0;1.0
000000496;1.0;1.0;1.0;1.0
000000518;1.0;1.0;1.0;1.0
000000504;0.0;0.0;0.0;0.0
000000528;0.0;0.0;0.0;0.0
000000538;0.0;0.0;0.0;0.0
000000541;1.0;1.0;1.0;1.0
000000560;1.0;1.0;1.0;1.0
000000540;0.0;0.0;0.0;0.0
000000598;1.0;1.0;1.0;1.0
000000606;1.0;1.0;1.0;1.0
000000628;0.0;0.0;0.0;0.0
000000631;1.0;0.0;0.0;0.0
000000663;1.0;1.0;1.0;1.0
000000665;0.0;0.0;0.0;0.0
000000681;0.0;0.0;0.0;0.0
000000680;1.0;1.0;1.0;1.0
000000682;1.0;1.0;1.0;1.0
000000683;1.0;0.0;0.0;0.0
000000688;1.0;1.0;1.0;1.0
000000694;0.0;0.0;0.0;0.0
000000641;1.0;1.0;1.0;1.0
000000702;1.0;1.0;1.0;1.0
000000708;0.0;0.0;0.0;0.0
000000713;1.0;1.0;1.0;1.0
000000715;0.0;0.0;0.0;0.0
000000716;1.0;1.0;1.0;1.0
000000653;1.0;0.0;0.0;0.0
000000717;1.0;1.0;1.0;1.0
000000721;1.0;1.0;1.0;1.0
000000727;1.0;1.0;1.0;1.0
000000739;1.0;1.0;1.0;1.0
000000751;1.0;1.0;1.0;1.0
000000759;0.0;0.0;0.0;0.0
000000737;1.0;1.0;1.0;1.0
000000744;0.0;0.0;0.0;0.0
000000636;0.0;0.0;0.0;0.0
000000780;1.0;0.0;0.0;0.0
000000797;0.0;0.0;0.0;0.0
000000798;1.0;1.0;0.0;0.0
000000820;1.0;1.0;1.0;1.0
000000805;1.0;1.0;1.0;1.0
000000840;0.0;0.0;0.0;0.0
000000843;0.0;0.0;0.0;0.0
000000844;1.0;0.0;0.0;0.0
000000855;0.0;0.0;0.0;0.0
000000869;0.0;0.0;0.0;0.0
000000873;1.0;1.0;1.0;1.0
000000863;0.0;0.0;0.0;0.0
000000874;1.0;1.0;1.0;1.0
000000875;0.0;0.0;0.0;0.0
000000872;1.0;1.0;1.0;1.0
000000881;0.0;0.0;0.0;0.0
000000906;0.0;0.0;0.0;0.0
000000907;1.0;1.0;1.0;1.0
000000900;0.0;0.0;0.0;0.0
000000911;1.0;1.0;1.0;1.0
000000901;1.0;1.0;1.0;1.0
000000920;1.0;1.0;1.0;1.0
000000930;1.0;1.0;1.0;1.0
000000935;1.0;0.0;0.0;0.0
000000938;1.0;1.0;1.0;1.0
000000962;0.0;0.0;0.0;0.0
000000980;1.0;1.0;1.0;1.0
000000983;1.0;1.0;0.0;0.0
000000975;1.0;1.0;1.0;1.0
000000999;1.0;0.0;0.0;0.0
000000978;0.0;0.0;0.0;0.0
000001012;0.0;0.0;0.0;0.0
000001013;0.0;0.0;0.0;0.0
000000964;1.0;1.0;1.0;1.0
000001033;1.0;1.0;1.0;1.0
000001036;1.0;1.0;1.0;1.0
000001024;1.0;1.0;1.0;0.0
000001059;0.0;0.0;0.0;0.0
000001020;1.0;1.0;0.0;0.0
000001061;1.0;1.0;1.0;1.0
000001067;0.0;0.0;0.0;0.0
000001070;0.0;0.0;0.0;0.0
000001098;0.0;0.0;0.0;0.0
000001102;0.0;0.0;0.0;0.0
000001106;0.0;0.0;0.0;0.0
000001116;0.0;0.0;0.0;0.0
000001120;1.0;1.0;0.0;0.0
