iter	Logloss
0	0.6892354241
1	0.6844791159
2	0.6796651555
3	0.6754361453
4	0.6708900107
5	0.6675359626
6	0.6633438836
7	0.6607746569
8	0.6576122265
9	0.6545719214
10	0.6523288475
11	0.6497176388
12	0.6464653796
13	0.6438744249
14	0.6417868739
15	0.6391891225
16	0.6362622027
17	0.6332895346
18	0.6307588329
19	0.6286659031
20	0.6271593587
21	0.6257232054
22	0.6237070478
23	0.6212533128
24	0.6191844736
25	0.617186437
26	0.61395362
27	0.6101289642
28	0.6082307954
29	0.6070505996
30	0.6053857204
31	0.6041522839
32	0.6021726876
33	0.5996595255
34	0.5964497392
35	0.5952997526
36	0.5936639693
37	0.5918914933
38	0.5912451562
39	0.5902178827
40	0.5897754066
41	0.5887717126
42	0.5873712535
43	0.5858318098
44	0.5839809756
45	0.58337954
46	0.5830679752
47	0.582034479
48	0.5806791707
49	0.5796000747
50	0.5778440477
51	0.5766808809
52	0.5748584637
53	0.5726630499
54	0.5718856544
55	0.5707471695
56	0.568485665
57	0.5677262734
58	0.566521122
59	0.5640656536
60	0.5627775726
61	0.5618318619
62	0.5609473961
63	0.5603756585
64	0.560019701
65	0.5586349327
66	0.5572162103
67	0.556034329
68	0.5546421061
69	0.5537249701
70	0.5533661949
71	0.5522014807
72	0.5510182492
73	0.5482580641
74	0.5463734747
75	0.5456793345
76	0.5442585335
77	0.5427226954
78	0.5415135795
79	0.5400162933
80	0.539265166
81	0.5377146429
82	0.5373499833
83	0.5367913041
84	0.5347301759
85	0.5339778431
86	0.5333727593
87	0.5332923894
88	0.531411858
89	0.5302063112
90	0.5298153137
91	0.5290612372
92	0.5284780568
93	0.5265782955
94	0.5257506656
95	0.525293795
96	0.5238602974
97	0.5230544803
98	0.522329956
99	0.5205016558
100	0.519620295
101	0.5178157812
102	0.5157425917
103	0.5146805328
104	0.5140925792
105	0.5134162942
106	0.5129450361
107	0.5125136361
108	0.5114305959
109	0.5097695798
110	0.5085106703
111	0.5081422772
112	0.5070988936
113	0.5063448538
114	0.5050880969
115	0.5047282016
116	0.5029369802
117	0.5024936831
118	0.5021036923
119	0.5008927805
120	0.5005460693
121	0.4996351069
122	0.4983459913
123	0.4978712724
124	0.4957235267
125	0.4952965835
126	0.4943088416
127	0.4939753412
128	0.4927307743
129	0.4919382664
130	0.491171144
131	0.4907553452
132	0.489103679
133	0.4875538239
134	0.486293878
135	0.4852033561
136	0.4846366268
137	0.4842543072
138	0.4837294433
139	0.4831878783
140	0.4826016296
141	0.480736856
142	0.4800145804
143	0.4796296213
144	0.4782229361
145	0.4772927805
146	0.4756653018
147	0.4749621953
148	0.4736202987
149	0.4725134106
150	0.4722673873
151	0.4714655814
152	0.4706664937
153	0.4701742301
154	0.4689946175
155	0.4677667061
156	0.4675833933
157	0.4664946956
158	0.4657741927
159	0.464715592
160	0.4637955186
161	0.4636337302
162	0.4629351393
163	0.4625234198
164	0.4623322939
165	0.4604835786
166	0.4590217561
167	0.4584894236
