iter	Passed	Remaining
0	1	1182
1	3	1368
2	5	1351
3	9	1924
4	15	2432
5	18	2426
6	21	2442
7	23	2306
8	24	2185
9	26	2108
10	28	2023
11	29	1956
12	31	1931
13	33	1880
14	35	1834
15	36	1791
16	38	1754
17	40	1743
18	41	1712
19	43	1683
20	44	1646
21	46	1637
22	47	1615
23	50	1629
24	52	1631
25	54	1615
26	56	1618
27	58	1606
28	59	1591
29	61	1577
30	63	1572
31	65	1582
32	67	1575
33	69	1563
34	70	1551
35	72	1539
36	74	1528
37	75	1517
38	77	1507
39	78	1498
40	80	1488
41	82	1487
42	84	1483
43	86	1478
44	87	1470
45	89	1462
46	90	1445
47	91	1438
48	93	1434
49	95	1429
50	96	1423
51	98	1417
52	102	1437
53	107	1491
54	109	1485
55	113	1503
56	116	1524
57	128	1648
58	128	1648
59	198	2485
60	199	2461
61	206	2496
62	208	2473
63	209	2450
64	211	2428
65	213	2406
66	214	2384
67	216	2363
68	218	2344
69	219	2325
70	221	2306
71	223	2288
72	224	2270
73	226	2251
74	228	2239
75	231	2231
76	235	2241
77	238	2234
78	240	2222
79	242	2212
80	244	2197
81	248	2206
82	252	2206
83	257	2224
84	263	2243
85	266	2239
86	271	2250
87	276	2262
88	281	2270
89	287	2293
90	292	2306
91	296	2308
92	298	2294
93	300	2279
94	303	2274
95	307	2279
96	310	2271
97	314	2272
98	315	2259
99	317	2244
100	319	2231
101	321	2221
102	326	2234
103	330	2235
104	335	2239
105	341	2254
106	343	2247
107	345	2236
108	349	2236
109	352	2228
110	354	2217
111	355	2205
112	357	2192
113	358	2179
114	360	2166
115	363	2160
116	367	2164
117	369	2153
118	371	2143
119	373	2132
120	374	2120
121	376	2108
122	378	2097
123	382	2101
124	386	2105
125	390	2107
126	393	2104
127	403	2135
128	409	2147
129	411	2135
130	412	2124
131	415	2116
132	416	2105
133	419	2102
134	422	2099
135	425	2090
136	426	2079
137	428	2069
138	430	2063
139	435	2067
140	439	2067
141	440	2057
142	442	2048
143	444	2040
144	446	2030
145	448	2021
146	449	2011
147	451	2002
148	453	1993
149	454	1984
150	456	1974
151	458	1969
152	461	1964
153	463	1956
154	465	1948
155	467	1940
156	469	1934
157	471	1927
158	473	1919
159	474	1910
160	476	1902
161	477	1894
162	479	1885
163	481	1877
164	482	1869
165	484	1861
166	488	1862
167	492	1864
168	494	1857
169	496	1849
170	497	1841
171	499	1834
172	500	1826
173	502	1818
174	504	1810
175	505	1803
176	507	1796
177	508	1788
178	510	1781
179	512	1774
180	513	1767
181	515	1759
182	517	1753
183	518	1746
184	520	1738
185	521	1731
186	523	1724
187	524	1717
188	526	1710
189	527	1703
190	529	1696
