iter	Passed	Remaining
0	7	6262
1	14	5905
2	20	5508
3	27	5497
4	33	5350
5	43	5757
6	55	6249
7	63	6260
8	70	6168
9	76	6029
10	82	5925
11	88	5803
12	94	5701
13	100	5615
14	105	5545
15	112	5490
16	117	5434
17	124	5390
18	129	5338
19	136	5306
20	141	5266
21	148	5236
22	153	5196
23	159	5172
24	165	5138
25	171	5108
26	177	5085
27	183	5061
28	189	5034
29	195	5009
30	201	4994
31	208	4994
32	214	4980
33	220	4959
34	226	4943
35	233	4950
36	239	4941
37	245	4922
38	251	4905
39	257	4893
40	263	4874
41	269	4858
42	275	4844
43	280	4827
44	286	4812
45	292	4797
46	299	4790
47	304	4777
48	310	4762
49	316	4750
50	323	4743
51	328	4730
52	334	4721
53	340	4708
54	346	4695
55	352	4687
56	358	4675
57	364	4663
58	370	4650
59	376	4640
60	381	4627
61	387	4615
62	393	4603
63	399	4591
64	405	4583
65	411	4574
66	417	4563
67	423	4555
68	428	4544
69	434	4532
70	440	4523
71	446	4514
72	452	4506
73	458	4500
74	465	4495
75	471	4487
76	477	4479
77	482	4470
78	489	4466
79	495	4456
80	501	4448
81	506	4438
82	512	4428
83	518	4419
84	524	4409
85	529	4399
86	535	4390
87	541	4381
88	547	4376
89	553	4366
90	559	4359
91	565	4351
92	571	4344
93	577	4339
94	583	4330
95	589	4322
96	595	4314
97	601	4307
98	607	4298
99	612	4290
100	618	4282
101	624	4274
102	631	4272
103	637	4264
104	643	4256
105	649	4250
106	654	4241
107	660	4233
108	666	4225
109	672	4219
110	678	4211
111	684	4202
112	690	4195
113	695	4187
114	701	4179
115	707	4173
116	713	4165
117	719	4157
118	725	4150
119	731	4142
120	736	4134
121	745	4142
122	786	4326
123	792	4322
124	799	4314
125	806	4313
126	812	4304
127	818	4295
128	824	4287
129	830	4277
130	836	4270
131	842	4261
132	847	4251
133	853	4241
134	859	4231
135	865	4223
136	871	4215
137	876	4206
138	882	4198
139	888	4189
140	894	4181
141	900	4173
142	906	4164
143	912	4158
144	918	4151
