iter	Passed	Remaining
0	4	3608
1	7	3083
2	10	2885
3	13	2774
4	17	2715
5	20	2671
6	23	2632
7	26	2604
8	29	2593
9	32	2572
10	35	2556
11	38	2542
12	41	2537
13	45	2528
14	48	2531
15	52	2548
16	55	2575
17	59	2569
18	62	2562
19	65	2566
20	69	2560
21	72	2552
22	75	2546
23	78	2541
24	81	2534
25	84	2527
26	88	2520
27	91	2515
28	94	2512
29	97	2506
30	100	2498
31	103	2491
32	106	2486
33	110	2480
34	113	2479
35	116	2474
36	119	2471
37	122	2465
38	126	2463
39	129	2458
40	132	2452
41	135	2450
42	138	2445
43	142	2440
44	145	2435
45	148	2430
46	151	2425
47	154	2420
48	157	2415
49	160	2409
50	163	2403
51	166	2398
52	169	2392
53	172	2388
54	176	2384
55	179	2380
56	182	2376
57	185	2374
58	188	2370
59	192	2376
60	195	2372
61	199	2370
62	202	2366
63	205	2362
64	208	2358
65	211	2355
66	214	2350
67	218	2350
68	221	2345
69	224	2341
70	227	2337
71	230	2333
72	233	2329
73	236	2325
74	240	2320
75	243	2316
76	246	2312
77	249	2308
78	252	2304
79	255	2301
80	258	2298
81	262	2296
82	265	2295
83	268	2290
84	271	2286
85	274	2282
86	278	2278
87	281	2276
88	284	2274
89	287	2271
90	291	2267
91	294	2267
92	308	2343
93	311	2342
94	315	2339
95	318	2334
96	321	2331
97	325	2328
98	328	2324
99	331	2320
100	334	2317
101	338	2313
102	341	2308
103	344	2304
104	347	2300
105	351	2299
106	354	2298
107	358	2293
108	361	2288
109	364	2284
110	367	2281
111	370	2276
112	373	2271
113	376	2267
114	379	2263
115	383	2264
116	387	2264
117	391	2263
118	394	2260
119	398	2255
120	401	2252
121	405	2251
122	408	2246
123	411	2242
124	414	2238
125	417	2234
126	421	2231
127	424	2227
128	427	2223
129	430	2218
130	433	2214
131	436	2209
132	442	2219
133	447	2224
134	451	2225
135	455	2223
136	458	2219
137	461	2214
138	465	2211
139	468	2207
140	471	2203
141	474	2199
142	477	2194
143	480	2190
144	483	2186
145	487	2182
146	490	2178
147	493	2174
148	496	2170
149	500	2167
150	503	2164
151	506	2160
152	509	2156
153	513	2153
154	516	2148
155	519	2145
156	522	2141
157	525	2137
158	529	2133
159	532	2128
160	535	2125
161	538	2121
162	541	2116
163	544	2113
164	547	2108
165	551	2104
166	554	2101
167	558	2100
168	561	2096
169	564	2092
170	568	2092
171	572	2090
172	576	2087
173	579	2084
174	586	2093
175	591	2098
176	596	2101
177	600	2100
178	604	2098
179	608	2095
180	612	2093
181	615	2090
182	619	2088
183	622	2085
184	626	2081
185	629	2079
186	633	2075
187	644	2098
188	766	2477
189	770	2472
190	773	2467
191	777	2462
192	781	2456
193	784	2451
194	788	2447
195	792	2441
196	798	2445
197	805	2449
198	812	2453
199	816	2449
200	823	2455
201	827	2448
202	830	2441
203	833	2435
204	837	2430
205	840	2424
206	844	2419
207	847	2412
208	850	2406
209	854	2401
210	858	2395
211	861	2389
212	865	2384
213	869	2380
214	872	2374
215	875	2367
216	879	2362
217	882	2356
218	885	2350
219	889	2344
220	892	2338
221	896	2333
222	899	2328
223	903	2322
224	906	2316
225	909	2310
226	913	2304
227	916	2299
228	920	2295
229	923	2289
230	927	2284
231	930	2278
232	933	2272
233	937	2266
234	940	2261
235	943	2255
236	947	2250
237	950	2244
238	953	2239
239	957	2233
240	961	2231
241	965	2226
242	968	2220
243	971	2214
244	974	2208
245	977	2202
246	981	2198
247	985	2193
248	988	2188
249	992	2183
250	996	2179
251	999	2173
252	1002	2168
253	1005	2162
254	1009	2156
255	1013	2152
256	1016	2147
257	1020	2142
258	1023	2138
259	1027	2134
260	1030	2128
261	1034	2124
262	1037	2119
263	1041	2113
264	1044	2108
265	1047	2103
266	1050	2097
267	1054	2092
268	1057	2087
269	1060	2082
270	1064	2077
271	1067	2071
272	1070	2067
273	1074	2062
274	1077	2057
275	1080	2052
276	1083	2046
277	1087	2041
278	1090	2036
279	1093	2030
280	1096	2025
281	1099	2020
282	1103	2015
283	1106	2010
284	1109	2004
285	1112	1999
286	1116	1994
287	1119	1990
288	1122	1984
289	1125	1979
290	1128	1974
291	1132	1969
292	1135	1964
293	1138	1959
294	1141	1954
295	1145	1949
296	1148	1945
297	1152	1940
298	1155	1935
299	1158	1931
300	1162	1927
301	1165	1922
302	1169	1918
303	1172	1913
304	1176	1908
305	1179	1903
306	1182	1898
307	1185	1893
308	1188	1889
309	1192	1884
310	1195	1879
311	1198	1874
312	1201	1869
313	1205	1865
314	1208	1860
315	1211	1855
316	1215	1851
317	1218	1846
318	1221	1842
319	1224	1837
320	1227	1832
321	1231	1827
322	1234	1822
323	1237	1818
324	1240	1813
325	1244	1808
326	1247	1803
327	1250	1799
328	1253	1794
329	1257	1790
330	1260	1785
331	1263	1781
332	1267	1777
333	1270	1772
334	1274	1768
335	1278	1764
336	1281	1760
337	1284	1755
338	1287	1750
339	1290	1746
340	1294	1742
341	1297	1737
342	1302	1735
343	1308	1734
344	1318	1739
345	1321	1734
346	1325	1730
347	1328	1725
348	1332	1721
349	1335	1717
350	1340	1714
351	1343	1710
352	1347	1705
353	1351	1702
354	1354	1698
355	1358	1693
356	1361	1689
357	1364	1685
358	1368	1680
359	1371	1675
360	1374	1671
361	1377	1666
362	1380	1662
363	1384	1658
364	1387	1653
365	1390	1648
366	1393	1644
367	1397	1640
368	1400	1635
369	1403	1631
370	1406	1626
371	1410	1622
372	1413	1618
373	1416	1613
374	1419	1608
375	1422	1604
376	1426	1600
377	1429	1595
378	1432	1591
379	1435	1586
380	1438	1582
381	1442	1578
382	1446	1575
383	1449	1570
384	1452	1566
385	1456	1561
386	1459	1557
387	1462	1553
388	1466	1549
389	1469	1545
390	1472	1540
391	1476	1536
392	1479	1531
393	1482	1527
394	1485	1523
395	1488	1518
396	1491	1514
397	1494	1509
398	1498	1505
399	1501	1501
400	1505	1497
401	1508	1493
402	1511	1488
403	1514	1484
404	1518	1480
405	1521	1476
406	1525	1472
407	1528	1468
408	1531	1464
409	1535	1460
410	1538	1456
411	1542	1452
412	1546	1449
413	1552	1447
414	1556	1444
415	1560	1440
416	1563	1436
417	1566	1431
418	1569	1427
419	1573	1423
420	1576	1419
421	1579	1414
422	1582	1410
423	1586	1406
424	1589	1402
425	1592	1398
426	1596	1394
427	1599	1390
428	1602	1386
429	1606	1382
430	1609	1378
431	1613	1374
432	1616	1370
433	1619	1365
434	1623	1362
435	1626	1357
436	1629	1353
437	1632	1349
438	1635	1345
439	1639	1341
440	1643	1337
441	1647	1334
442	1650	1330
443	1653	1326
444	1657	1321
445	1660	1317
446	1663	1313
447	1667	1310
448	1670	1306
449	1674	1302
450	1677	1298
451	1681	1294
452	1685	1291
453	1689	1287
454	1693	1284
455	1697	1280
456	1700	1276
457	1707	1275
458	1714	1274
459	1721	1272
460	1726	1269
461	1730	1266
462	1743	1269
463	1747	1265
464	1751	1261
465	1760	1261
466	1882	1342
467	1887	1339
468	1891	1334
469	1894	1330
470	1897	1325
471	1901	1321
472	1904	1316
473	1907	1312
474	1913	1309
475	1918	1305
476	1924	1303
477	1930	1300
478	1936	1297
479	1939	1292
480	1942	1288
481	1945	1283
482	1948	1278
483	1951	1274
484	1954	1269
485	1957	1265
486	1961	1260
487	1964	1255
488	1967	1251
489	1970	1246
490	1973	1242
491	1976	1237
492	1980	1233
493	1983	1228
494	1986	1223
495	1989	1219
496	1992	1214
497	1995	1210
498	1998	1205
499	2001	1201
500	2004	1196
501	2007	1191
502	2010	1187
503	2014	1183
504	2017	1178
505	2020	1174
506	2023	1169
507	2027	1165
508	2030	1160
509	2033	1156
510	2036	1151
511	2039	1147
512	2042	1142
513	2045	1138
514	2048	1133
515	2051	1129
516	2055	1124
517	2058	1120
518	2061	1115
519	2064	1111
520	2067	1106
521	2070	1102
522	2073	1098
523	2076	1093
524	2079	1089
525	2082	1084
526	2085	1080
527	2088	1076
528	2091	1071
529	2094	1067
530	2097	1062
531	2100	1058
532	2104	1054
533	2107	1049
534	2110	1045
535	2113	1040
536	2116	1036
537	2119	1032
538	2122	1027
539	2125	1023
540	2128	1019
541	2131	1014
542	2134	1010
543	2137	1006
544	2140	1001
545	2144	997
546	2147	993
547	2150	988
548	2153	984
549	2156	980
550	2159	975
551	2162	971
552	2165	967
553	2168	962
554	2171	958
555	2174	954
556	2177	949
557	2180	945
558	2183	941
559	2186	937
560	2189	932
561	2192	928
562	2196	924
563	2199	920
564	2202	915
565	2205	911
566	2208	907
567	2211	903
568	2214	899
569	2217	894
570	2220	890
571	2223	886
572	2226	882
573	2230	878
574	2233	873
575	2236	869
576	2239	865
577	2242	861
578	2245	857
579	2248	853
580	2251	848
581	2255	844
582	2258	840
583	2261	836
584	2264	832
585	2267	828
586	2270	823
587	2273	819
588	2276	815
589	2279	811
590	2282	807
591	2285	803
592	2288	798
593	2291	794
594	2294	790
595	2297	786
596	2301	782
597	2304	778
598	2307	774
599	2314	771
600	2318	767
601	2323	764
602	2326	760
603	2331	756
604	2335	752
605	2338	748
606	2341	744
607	2345	740
608	2348	736
609	2351	732
610	2355	728
611	2359	724
612	2365	721
613	2369	717
614	2372	713
615	2376	709
616	2382	706
617	2386	702
618	2391	699
619	2397	695
620	2402	692
621	2405	688
622	2408	684
623	2411	680
624	2414	676
625	2417	671
626	2420	667
627	2423	663
628	2426	659
629	2429	655
630	2433	651
631	2437	647
632	2440	643
633	2443	639
634	2447	635
635	2450	631
636	2453	627
637	2456	623
638	2459	619
639	2462	615
640	2465	611
641	2468	607
642	2471	603
643	2474	599
644	2477	595
645	2480	591
646	2483	587
647	2486	583
648	2490	579
649	2493	575
650	2496	571
651	2500	567
652	2505	564
653	2509	560
654	2512	556
655	2515	552
656	2518	548
657	2521	544
658	2524	540
659	2528	536
660	2531	532
661	2534	528
662	2537	524
663	2540	520
664	2543	516
665	2546	512
666	2549	508
667	2553	504
668	2556	500
669	2559	496
670	2562	492
671	2565	488
672	2569	484
673	2572	480
674	2575	476
675	2578	472
676	2581	469
677	2584	465
678	2587	461
679	2590	457
680	2593	453
681	2597	449
682	2600	445
683	2603	441
684	2606	437
685	2609	433
686	2612	429
687	2615	425
688	2618	421
689	2621	417
690	2624	414
691	2627	410
692	2630	406
693	2633	402
694	2636	398
695	2639	394
696	2643	390
697	2646	386
698	2649	382
699	2652	378
700	2655	375
701	2658	371
702	2661	367
703	2664	363
704	2667	359
705	2670	355
706	2674	351
707	2677	347
708	2680	343
709	2683	340
710	2687	336
711	2690	332
712	2693	328
713	2696	324
714	2699	320
715	2702	317
716	2705	313
717	2709	309
718	2713	305
719	2716	301
720	2719	298
721	2724	294
722	2729	290
723	2732	286
724	2735	282
725	2738	279
726	2741	275
727	2744	271
728	2747	267
729	2750	263
730	2753	259
731	2756	256
732	2759	252
733	2763	248
734	2766	244
735	2769	240
736	2772	236
737	2775	233
738	2778	229
739	2781	225
740	2784	221
741	2787	217
742	2790	214
743	2793	210
744	2796	206
745	2799	202
746	2802	198
747	2805	195
748	2808	191
749	2811	187
750	2814	183
751	2817	179
752	2820	176
753	2823	172
754	2826	168
755	2829	164
756	2832	160
757	2835	157
758	2838	153
759	2842	149
760	2845	145
761	2848	142
762	2853	138
763	2856	134
764	2864	131
765	2869	127
766	2943	126
767	3036	126
768	3039	122
769	3043	118
770	3046	114
771	3049	110
772	3053	106
773	3056	102
774	3060	98
775	3066	94
776	3071	90
777	3078	87
778	3084	83
779	3090	79
780	3093	75
781	3097	71
782	3100	67
783	3103	63
784	3106	59
785	3109	55
786	3112	51
787	3116	47
788	3119	43
789	3122	39
790	3126	35
791	3129	31
792	3132	27
793	3135	23
794	3138	19
795	3141	15
796	3144	11
797	3147	7
798	3150	3
799	3153	0
