iter	Passed	Remaining
0	2	1753
1	3	1520
2	5	1412
3	6	1355
4	8	1336
5	9	1308
6	11	1292
7	12	1282
8	14	1270
9	16	1270
10	17	1268
11	19	1260
12	20	1252
13	22	1247
14	23	1242
15	25	1241
16	26	1236
17	28	1217
18	29	1213
19	31	1212
20	32	1208
21	34	1204
22	35	1209
23	37	1218
24	39	1218
25	40	1214
26	42	1211
27	43	1210
28	45	1209
29	47	1207
30	48	1204
31	50	1201
32	51	1199
33	53	1197
34	54	1197
35	56	1198
36	58	1196
37	59	1196
38	61	1194
39	62	1195
40	64	1193
41	66	1192
42	67	1192
43	69	1190
44	70	1187
45	72	1186
46	74	1186
47	75	1184
48	77	1181
49	78	1179
50	80	1177
51	81	1175
52	83	1173
53	84	1173
54	86	1174
55	88	1171
56	89	1170
57	91	1170
58	93	1169
59	94	1169
60	96	1166
61	97	1164
62	99	1162
63	100	1160
64	102	1157
65	104	1158
66	105	1156
67	107	1154
68	108	1154
69	110	1156
70	112	1154
71	113	1152
72	115	1149
73	116	1147
74	118	1149
75	120	1147
76	122	1145
77	123	1143
78	125	1141
79	126	1138
80	128	1137
81	129	1136
82	131	1134
83	132	1132
84	134	1130
85	135	1128
86	137	1126
87	138	1124
88	140	1122
89	141	1119
90	143	1117
91	145	1115
92	146	1113
93	148	1112
94	149	1110
95	151	1108
96	152	1106
97	154	1104
98	155	1103
99	157	1102
100	159	1101
101	160	1096
102	161	1094
103	163	1093
104	165	1095
105	167	1093
106	168	1092
107	170	1090
108	171	1088
109	173	1086
110	174	1084
111	176	1082
112	178	1083
113	180	1085
114	181	1083
115	183	1083
116	185	1082
117	186	1080
118	188	1078
119	189	1076
120	191	1075
121	194	1078
122	195	1076
123	197	1074
124	198	1072
125	200	1071
126	201	1069
127	203	1069
128	205	1067
129	207	1067
130	208	1065
131	210	1064
132	211	1063
133	213	1061
134	215	1059
135	216	1057
136	218	1055
137	219	1053
138	221	1053
139	223	1051
140	224	1050
141	226	1049
142	228	1048
143	229	1047
144	231	1045
145	233	1044
146	234	1042
147	236	1041
148	238	1040
149	239	1039
150	241	1037
151	242	1035
152	244	1033
153	246	1032
154	247	1030
155	249	1029
156	250	1027
157	252	1027
158	254	1025
159	256	1024
160	257	1022
161	259	1020
162	260	1018
163	262	1016
164	264	1016
165	271	1036
166	273	1035
167	276	1040
168	282	1054
169	332	1231
170	336	1237
171	338	1234
172	341	1239
173	344	1240
174	387	1382
175	387	1382
176	388	1376
177	390	1373
178	398	1390
179	400	1386
180	404	1391
181	409	1398
182	412	1397
183	413	1393
184	419	1401
185	425	1410
186	428	1413
187	430	1409
188	433	1407
189	438	1416
190	441	1416
191	446	1421
192	449	1421
193	451	1417
194	458	1429
195	461	1428
196	462	1424
197	465	1421
198	469	1425
199	471	1420
200	472	1415
201	474	1411
202	477	1409
203	480	1410
204	481	1405
205	486	1410
206	492	1416
207	493	1412
208	495	1407
209	497	1403
210	498	1398
211	500	1395
212	504	1395
213	508	1399
214	510	1395
215	512	1393
216	517	1396
217	520	1396
218	522	1392
219	528	1398
220	529	1394
221	534	1397
222	540	1404
223	542	1401
224	544	1397
225	546	1394
226	551	1397
227	552	1393
228	554	1389
229	557	1386
230	560	1387
231	562	1383
232	567	1387
233	570	1385
234	571	1380
235	573	1376
236	577	1378
237	579	1374
238	581	1369
239	582	1365
240	584	1360
241	585	1356
242	587	1351
243	589	1349
244	592	1348
245	595	1346
246	596	1341
247	598	1337
248	601	1337
249	607	1341
250	609	1339
251	613	1338
252	614	1334
253	616	1331
254	618	1327
255	620	1324
256	622	1320
257	624	1316
258	626	1312
259	627	1308
260	629	1304
261	630	1299
262	632	1296
263	634	1292
264	635	1288
265	637	1284
266	639	1281
267	640	1277
268	642	1273
269	644	1269
270	645	1265
271	647	1261
272	649	1257
273	650	1253
274	655	1255
275	660	1259
276	664	1259
277	666	1255
278	668	1251
279	669	1248
280	671	1244
281	672	1240
282	674	1236
283	675	1232
284	677	1228
285	679	1224
286	680	1220
287	682	1217
288	683	1213
289	685	1209
290	686	1205
291	688	1201
292	689	1198
293	691	1194
294	693	1190
295	694	1186
296	696	1183
297	697	1179
298	699	1175
299	700	1171
300	702	1168
301	703	1164
302	705	1160
303	706	1157
304	708	1153
305	710	1150
306	711	1146
307	713	1143
308	714	1139
309	716	1135
310	717	1132
311	719	1128
312	721	1125
313	722	1121
314	724	1118
315	725	1114
316	727	1111
317	728	1108
318	730	1105
319	732	1101
320	733	1098
321	735	1095
322	736	1091
323	738	1088
324	740	1084
325	741	1081
326	743	1078
327	744	1074
328	746	1071
329	748	1068
330	749	1065
331	751	1062
332	752	1059
333	754	1055
334	756	1052
335	757	1049
336	759	1046
337	760	1043
338	762	1039
339	763	1036
340	765	1033
341	767	1030
342	768	1027
343	770	1024
