iter	Logloss
0	0.6888122906
1	0.684196874
2	0.679978412
3	0.67585903
4	0.6727245918
5	0.6694303198
6	0.664771903
7	0.6617706127
8	0.6583032137
9	0.6553191824
10	0.6526114003
11	0.6494428646
12	0.6468779289
13	0.6443050763
14	0.6418685109
15	0.6398332652
16	0.6373090321
17	0.6353517559
18	0.6334097633
19	0.6288945104
20	0.6268494837
21	0.6243392134
22	0.6227953624
23	0.6209909409
24	0.6188015867
25	0.6176642812
26	0.6161713861
27	0.6144298488
28	0.6133126218
29	0.6111372483
30	0.6092503628
31	0.606904689
32	0.6054435464
33	0.6037575413
34	0.601239328
35	0.5979896897
36	0.5967165344
37	0.5952011779
38	0.5930299824
39	0.5915009792
40	0.5900193784
41	0.5877707651
42	0.5868323904
43	0.5846113252
44	0.5832247286
45	0.5820928979
46	0.5798578568
47	0.5782400437
48	0.5766673965
49	0.5743516536
50	0.5732350273
51	0.572266026
52	0.5713076928
53	0.5704394842
54	0.5697040564
55	0.5683083057
56	0.5671948939
57	0.5666755092
58	0.5651993347
59	0.5646787512
60	0.5624970569
61	0.5613238398
62	0.5603322558
63	0.5578417852
64	0.5561929982
65	0.5553612886
66	0.5534720113
67	0.5514550562
68	0.5497616179
69	0.5487045422
70	0.5474971866
71	0.5468155388
72	0.5462273843
73	0.5448975954
74	0.5438182795
75	0.5431137473
76	0.5428328823
77	0.5406820893
78	0.5398031022
79	0.5383531465
80	0.5376677592
81	0.5359696891
82	0.5349165846
83	0.5337636864
84	0.5332225125
85	0.532430211
86	0.530626603
87	0.5300453489
88	0.5290786032
89	0.5272035139
90	0.5258583845
91	0.5250226637
92	0.5229879002
93	0.5224825965
94	0.5213416992
95	0.5208379195
96	0.5198857673
97	0.5195809214
98	0.5187769726
99	0.517293969
100	0.5159060902
101	0.5151684983
102	0.5146333065
103	0.5139357425
104	0.5126031584
105	0.51226219
106	0.5116439636
107	0.510718552
108	0.5099876217
109	0.5088652461
110	0.5083798623
111	0.5078720367
112	0.5063237988
113	0.5056751364
114	0.5048028921
115	0.5034913796
116	0.5026776377
117	0.5020821819
118	0.5010606734
119	0.5002845653
120	0.4999196995
121	0.4983673063
122	0.4977123604
123	0.4967742112
124	0.4963880427
125	0.4959847744
126	0.4956121282
127	0.4943822301
128	0.4936783024
129	0.4930143269
130	0.4926803721
131	0.4920947635
132	0.4909681423
133	0.4890693971
134	0.4884847198
135	0.4880454663
136	0.4875254696
137	0.4870834535
138	0.48650415
139	0.4861368501
140	0.4852783785
141	0.4843119279
142	0.4841395455
143	0.4836659983
144	0.4832536088
145	0.4825412327
146	0.4819491386
147	0.4805550331
148	0.4802764161
149	0.479910818
150	0.4786716028
151	0.4775597116
152	0.4769955756
153	0.4757311871
154	0.4754601723
155	0.4740126183
156	0.4728842864
157	0.4720488342
158	0.4718263914
159	0.4713841298
160	0.4712550359
161	0.4707202295
162	0.470360748
163	0.4686120257
164	0.4679753665
165	0.4674662776
166	0.4665690419
167	0.4658517494
168	0.4643395297
169	0.4631617193
170	0.46129052
171	0.4610182977
172	0.4601152086
173	0.4594084502
174	0.4586538155
175	0.4585326485
176	0.4585005243
177	0.4573678941
178	0.4561167587
179	0.4538378364
180	0.4520005724
181	0.4515119233
182	0.4500471314
183	0.4490860094
184	0.4486594958
185	0.4469907619
186	0.446589611
187	0.4458329783
188	0.4445926537
189	0.4430736736
190	0.4416739942
191	0.4415623473
192	0.4404484442
193	0.4383455356
194	0.4363395203
195	0.436033356
196	0.4355925664
197	0.4348866524
198	0.4341990174
199	0.4337469638
200	0.4329387808
201	0.4320331552
202	0.4311879838
203	0.4306354947
204	0.4297590209
205	0.4285767813
206	0.427317312
207	0.4264141354
208	0.4246510972
209	0.4237458615
210	0.4222643539
211	0.4212967196
212	0.4200983786
213	0.4190483105
214	0.4182591161
215	0.4172734295
216	0.4158139713
217	0.4147477138
218	0.414045174
219	0.4135908714
220	0.4120078935
221	0.4106174494
222	0.4098967051
223	0.4090259297
224	0.4079468576
225	0.4065482303
226	0.4058603964
227	0.4038376996
228	0.4026415281
229	0.4017327975
230	0.4016225329
231	0.4001692354
232	0.3989387265
233	0.3978368588
234	0.3960974542
235	0.3949231281
236	0.3936062599
237	0.393173259
238	0.3928607024
239	0.3912098518
240	0.3904850635
241	0.3887177992
242	0.3877807459
243	0.3858507313
244	0.3852623927
245	0.3834683298
246	0.382820175
247	0.3808845826
248	0.3799290936
249	0.3789888931
250	0.3780127842
251	0.377740951
252	0.3766197686
253	0.3758667191
254	0.3753183299
255	0.3742498822
256	0.3732194486
257	0.3726205592
258	0.371994931
259	0.3704492919
260	0.3693449172
261	0.3680779203
262	0.3666986365
263	0.3660244014
264	0.3653391787
265	0.364007819
266	0.3625321573
267	0.3618001103
268	0.3606673219
269	0.3597425698
270	0.3585370497
271	0.3582372385
272	0.3573114609
273	0.3557702854
274	0.3540943171
275	0.3537900428
276	0.3525932645
277	0.3524269797
278	0.3519363387
279	0.3500189847
280	0.3490273051
281	0.3470182595
282	0.3461539443
283	0.346065281
284	0.3445398001
285	0.3431422499
286	0.3413810037
287	0.3397196494
288	0.3376860081
289	0.3364066674
290	0.3356690594
291	0.3344588352
292	0.332761702
293	0.331760267
294	0.3308690098
295	0.330200431
296	0.3293534758
297	0.3284108618
298	0.3278952565
299	0.3267845058
300	0.3262283055
301	0.32516497
302	0.3237577593
303	0.3229735691
304	0.322386754
305	0.3210164454
306	0.3202273726
307	0.3192595901
308	0.3183077678
