iter	Logloss
0	0.6880771817
1	0.6829494203
2	0.6781835702
3	0.6733038447
4	0.6680290262
5	0.663349447
6	0.660769557
7	0.658210655
8	0.6552715704
9	0.6493825652
10	0.6470115652
11	0.6448360541
12	0.6418565859
13	0.6396184613
14	0.6361681952
15	0.6349519765
16	0.6324599978
17	0.630820742
18	0.6288071176
19	0.6255572551
20	0.6231971264
21	0.6208672379
22	0.6192856688
23	0.6175315203
24	0.6156875248
25	0.614174543
26	0.6126255654
27	0.6113799563
28	0.6100715288
29	0.6088089603
30	0.606380061
31	0.6037377006
32	0.6016210011
33	0.5996908269
34	0.5964986443
35	0.5935097309
36	0.5908662908
37	0.5892234424
38	0.5882119316
39	0.5850759731
40	0.5838023831
41	0.5813296186
42	0.5808196136
43	0.5798291233
44	0.5779356268
45	0.5764874384
46	0.574109285
47	0.5727704311
48	0.5701601319
49	0.5681042844
50	0.5667980873
51	0.5659093977
52	0.56477456
53	0.5639972141
54	0.5629478108
55	0.5618970702
56	0.5616957129
57	0.5600471681
58	0.5582345338
59	0.5571757643
60	0.555400591
61	0.5546780617
62	0.5536938501
63	0.5531932943
64	0.5513474304
65	0.5504763081
66	0.5490870347
67	0.5472195421
68	0.5455062076
69	0.5438750797
70	0.5420192345
71	0.5417070816
72	0.5401091872
73	0.5388203957
74	0.5374434017
75	0.5363483627
76	0.5355276832
77	0.5347098664
78	0.5341619641
79	0.5317061504
80	0.5294233691
81	0.5286839108
82	0.5267548991
83	0.5257480307
84	0.5247886531
85	0.5239756016
86	0.5235640492
87	0.5228027904
88	0.5222670824
89	0.5217534482
90	0.5211970467
91	0.5200204703
92	0.5181596904
93	0.5167854021
94	0.515523266
95	0.5150399006
96	0.5145010206
97	0.51379886
98	0.5124710077
99	0.5115884535
100	0.5101740744
101	0.5087332394
102	0.5071712107
103	0.5059751658
104	0.5047595089
105	0.5029513537
106	0.5015170383
107	0.5008175943
108	0.499709697
109	0.498939549
110	0.4959895025
111	0.4945473138
112	0.4930084857
113	0.4927151258
114	0.4915321009
115	0.4902781123
116	0.4895910797
117	0.4892385143
118	0.4883579936
119	0.486905687
120	0.4856708596
121	0.4841654107
122	0.4837652328
123	0.4836225671
124	0.4829203459
125	0.4808573707
126	0.4802079145
127	0.4797027553
128	0.4793532808
129	0.4786351903
130	0.4774390121
131	0.4770715605
132	0.4759329915
133	0.474870016
134	0.4736158385
135	0.4726772834
136	0.4714197253
137	0.4708053924
138	0.4703647944
139	0.4696158666
140	0.4685644579
141	0.4683941797
142	0.4671068538
143	0.4660976752
144	0.4653444396
145	0.4641319021
146	0.4632758332
147	0.4617352915
148	0.4616269139
149	0.4610122076
150	0.459557153
151	0.4590841943
152	0.4570210908
153	0.4566101677
154	0.4561688282
155	0.4541780179
156	0.4535776354
157	0.4525882906
158	0.4514687736
159	0.4507619006
160	0.4494762337
161	0.4490806331
162	0.4484550715
163	0.4474292347
164	0.4465930032
165	0.4460072109
166	0.4438245576
167	0.4432229444
168	0.4414982989
169	0.4406661684
170	0.4380813006
171	0.4369355221
172	0.4349058172
173	0.4340977513
174	0.433649144
175	0.4318050118
176	0.4302966906
177	0.4285171653
178	0.4268845107
179	0.4254622056
180	0.424565218
181	0.4239876923
182	0.4232209946
183	0.421529018
184	0.4209024288
185	0.4204037865
186	0.4181937577
187	0.417087462
188	0.4156757295
189	0.4152150949
190	0.4149276193
191	0.4142728538
192	0.4134527312
193	0.4129821808
194	0.4125197699
195	0.411966382
196	0.4102057185
197	0.4098968989
198	0.4095147353
199	0.4084788253
200	0.4073918289
201	0.4060736711
202	0.4054205547
203	0.405167489
204	0.4037616168
205	0.4034333299
206	0.40209385
207	0.4006058178
208	0.3990940096
209	0.397318577
210	0.3952454216
211	0.3943165463
212	0.3932872876
213	0.3925574383
214	0.3917621948
215	0.3909193565
216	0.3902624336
217	0.3888107565
218	0.3880528242
219	0.3877364233
220	0.3868674833
221	0.3865991887
222	0.3848790264
223	0.38436766
224	0.3836867002
225	0.3820835462
226	0.3802999408
227	0.3791542624
228	0.3785898161
229	0.3775198714
230	0.3764353309
231	0.3747539417
232	0.3745829535
233	0.3728948691
234	0.3726730594
235	0.3708253228
236	0.3705038912
237	0.3695372473
238	0.3688408541
239	0.3675353494
240	0.3667498893
241	0.3657515466
242	0.364251346
243	0.3628872829
244	0.3611506175
245	0.3599668226
246	0.3592725836
247	0.3585053178
248	0.3572856717
249	0.3571397261
250	0.3562558633
251	0.3544794419
252	0.3538305518
253	0.3527584792
254	0.3519452302
255	0.3515565319
256	0.3500208155
257	0.3483226761
258	0.3470828687
259	0.3464690218
260	0.3449377707
261	0.3448319302
262	0.3433678578
263	0.3431064114
264	0.3423240259
265	0.3415814544
266	0.3397850475
267	0.338233719
268	0.3374678849
269	0.336047818
270	0.3354377675
271	0.3345964678
272	0.333504402
273	0.3330805498
274	0.3320262693
275	0.3306806438
276	0.3306013837
277	0.3304916028
278	0.3297738086
279	0.3277488693
280	0.3266796105
281	0.3255490018
282	0.3243706204
283	0.3230221719
284	0.3224137947
285	0.3214020428
286	0.3206803975
287	0.3196281599
288	0.3193403968
289	0.3190690014
290	0.3182221212
291	0.3172342288
292	0.3164978818
293	0.3155726497
294	0.3140800619
295	0.3135044821
296	0.3122924715
297	0.3104240991
298	0.3087157009
299	0.3075907799
300	0.3067428887
301	0.3058944838
302	0.3045942179
303	0.3038163798
304	0.3028872711
305	0.3028451333
306	0.3023092239
307	0.3012584384
308	0.3004802936
309	0.2998397855
310	0.2997221934
311	0.2986882261
312	0.2970141102
313	0.2957951616
314	0.2952268061
315	0.293733343
316	0.2928750663
317	0.2915378037
318	0.2908590218
319	0.2904286207
320	0.2890224362
321	0.2875975124
322	0.2860607126
323	0.2852241708
324	0.28405057
325	0.283033608
326	0.2823862849
327	0.281444827
328	0.2812829424
329	0.2802618302
330	0.2787673094
331	0.2779915677
332	0.2764270712
333	0.275375433
334	0.2748060268
335	0.2742283446
336	0.2736822161
337	0.2724493801
338	0.2722954783
339	0.2716900062
340	0.2708877042
341	0.2702005216
342	0.2696275531
343	0.2687768348
344	0.2678382029
345	0.2672977615
346	0.2664739624
347	0.2656205334
348	0.2645754476
349	0.2639902502
350	0.262598498
351	0.2614483515
352	0.2608960117
353	0.2607954066
354	0.2597914522
355	0.2589535399
356	0.2584308073
357	0.2577313301
358	0.2571952188
359	0.2566594726
360	0.2559618967
361	0.2553558948
362	0.254288788
363	0.2536266703
364	0.2521894684
365	0.2513376109
366	0.251283465
367	0.2511647185
368	0.2506256231
369	0.2502923655
370	0.2497000817
371	0.2487562649
372	0.2476505335
373	0.2468253989
374	0.2461670308
375	0.244725892
376	0.2436961166
377	0.243193106
378	0.2430956354
379	0.2424653447
380	0.2410278846
381	0.2402898447
382	0.2395955915
383	0.2388693737
384	0.2385788966
385	0.23819331
386	0.2375680509
387	0.2374875362
388	0.2367544888
389	0.2357861099
390	0.2350903042
391	0.234853107
392	0.2347604768
393	0.234745893
394	0.2341880537
395	0.2330658085
396	0.2322286407
397	0.2315934464
398	0.2307161453
399	0.2298913912
400	0.2298068353
401	0.2287484468
402	0.2276953405
403	0.2267923068
404	0.2262363891
405	0.2253713773
406	0.2250974676
407	0.2241318499
408	0.223317667
409	0.2232007618
410	0.2227236938
411	0.2220692857
412	0.2216408262
413	0.2215763568
414	0.2212536726
415	0.2211423719
416	0.2201775496
417	0.21965179
418	0.2191900119
419	0.2190937607
420	0.2182432706
421	0.2175292208
422	0.2169760889
423	0.216935338
424	0.2160473943
425	0.215191349
426	0.2151008078
427	0.2143418063
428	0.2140089999
429	0.2133196124
430	0.2132566976
431	0.2128373261
432	0.2122222816
433	0.211522573
434	0.2114276208
435	0.2103794221
436	0.2096054447
437	0.2090084307
438	0.2081057348
439	0.2076685293
440	0.2074019591
441	0.2070106532
442	0.2069513302
443	0.2062235952
444	0.2059311292
445	0.2053335528
446	0.2049599001
447	0.2049219733
