iter	Passed	Remaining
0	1	1455
1	3	1313
2	4	1258
3	6	1238
4	7	1221
5	9	1213
6	10	1209
7	12	1199
8	13	1193
9	15	1190
10	16	1187
11	18	1183
12	19	1182
13	21	1179
14	22	1176
15	23	1148
16	24	1147
17	26	1145
18	27	1142
19	29	1143
20	30	1144
21	32	1143
22	33	1143
23	35	1143
24	36	1141
25	38	1139
26	39	1137
27	41	1136
28	42	1136
29	44	1135
30	45	1137
31	47	1136
32	48	1135
33	50	1133
34	51	1132
35	53	1130
36	54	1128
37	58	1174
38	61	1202
39	66	1262
40	70	1303
41	71	1297
42	73	1290
43	74	1286
44	76	1284
45	78	1280
46	79	1276
47	81	1270
48	82	1265
49	84	1261
50	85	1256
51	86	1251
52	88	1247
53	90	1244
54	91	1243
55	93	1239
56	94	1234
57	96	1230
58	97	1227
59	99	1223
60	100	1221
61	102	1218
62	103	1215
63	105	1211
64	106	1208
65	108	1204
66	110	1204
67	111	1201
68	113	1198
69	114	1194
70	116	1191
71	117	1188
72	119	1185
73	120	1183
74	122	1180
75	123	1177
76	125	1175
77	126	1172
78	128	1173
79	130	1171
80	131	1167
81	133	1165
82	134	1162
83	136	1159
84	137	1156
85	138	1153
86	141	1161
87	143	1162
88	146	1166
89	149	1175
90	151	1179
91	153	1180
92	156	1186
93	157	1186
94	160	1192
95	162	1190
96	163	1188
97	165	1185
98	167	1185
99	168	1182
100	170	1180
101	172	1179
102	174	1178
103	175	1176
104	177	1174
105	179	1172
106	180	1170
107	182	1169
108	184	1167
109	185	1166
110	187	1164
111	189	1161
112	191	1162
113	193	1164
114	195	1162
115	196	1159
116	198	1155
117	199	1152
118	200	1150
119	202	1147
120	203	1144
121	205	1141
122	206	1138
123	208	1135
124	209	1133
125	211	1130
126	212	1127
127	214	1125
128	215	1122
129	217	1120
130	218	1117
131	220	1114
132	221	1111
133	223	1109
134	224	1106
135	226	1104
136	228	1104
137	229	1101
138	231	1098
139	232	1096
140	234	1094
141	235	1091
142	237	1089
143	239	1088
144	241	1089
145	242	1087
146	244	1084
147	245	1082
148	246	1076
149	247	1073
150	249	1071
151	250	1069
152	252	1066
153	253	1064
154	255	1061
155	256	1059
156	258	1058
157	260	1056
158	261	1054
159	262	1051
160	264	1050
161	266	1047
162	267	1045
163	269	1043
164	270	1041
165	272	1038
166	273	1036
167	275	1035
168	277	1034
169	278	1032
170	280	1030
171	281	1028
172	283	1026
173	285	1028
174	287	1026
175	289	1024
176	290	1023
177	292	1022
178	294	1020
179	295	1017
180	296	1015
181	298	1013
182	299	1011
183	301	1008
184	302	1006
185	304	1005
186	305	1003
187	307	1001
188	308	998
189	310	996
190	311	994
191	313	992
192	314	990
193	316	988
194	317	986
195	319	984
196	320	981
197	322	979
198	323	977
199	325	975
200	326	973
201	328	971
202	329	969
203	331	967
204	332	965
205	334	963
206	335	961
207	337	959
208	338	957
209	339	955
210	341	953
211	342	951
212	344	948
213	345	946
214	347	944
215	348	942
216	350	941
217	352	940
218	353	938
219	355	936
220	356	934
221	357	932
222	359	930
223	360	928
224	362	926
225	363	924
226	365	922
227	366	920
228	368	919
229	370	917
230	371	915
231	373	913
232	374	911
233	376	909
234	377	907
235	379	906
236	380	904
237	382	902
238	383	900
239	385	898
240	386	896
241	388	894
242	389	892
243	390	890
244	393	890
245	394	888
246	396	886
247	397	884
248	398	882
249	400	881
250	401	879
251	403	877
252	405	876
253	406	874
254	408	872
255	409	870
256	411	868
257	412	867
258	414	865
259	415	863
260	417	861
261	418	859
262	420	857
263	421	855
264	422	853
265	424	852
266	425	850
267	427	848
268	428	846
269	430	844
270	431	842
271	433	841
272	434	839
273	436	837
274	437	835
275	439	833
276	440	832
277	442	830
278	443	828
279	445	827
280	446	825
281	448	823
282	450	822
283	451	820
284	453	818
285	456	820
286	458	819
287	464	825
288	467	827
289	469	825
290	473	828
291	476	829
292	482	834
293	576	992
294	576	992
295	578	987
296	579	985
297	587	992
298	589	990
299	590	987
300	592	984
301	593	982
302	595	979
303	596	976
304	598	974
305	599	971
306	601	968
307	602	966
308	604	963
309	609	966
310	615	971
311	618	970
312	620	968
313	625	970
314	627	969
315	632	971
316	636	973
317	642	977
318	644	974
319	649	976
320	650	973
321	652	971
322	656	972
323	658	969
324	662	971
325	665	970
326	667	967
327	669	966
328	670	963
329	672	960
330	674	958
331	676	956
332	677	953
333	679	950
334	681	948
335	682	945
336	684	942
337	685	940
338	689	940
339	691	938
340	693	936
341	696	935
342	701	937
343	705	937
344	706	934
345	708	932
346	709	929
347	711	927
348	713	925
349	718	926
350	720	924
351	721	921
352	723	918
353	725	916
354	726	913
355	729	912
356	730	909
357	733	907
358	738	909
359	740	908
360	742	905
361	744	903
362	747	902
363	749	900
364	751	897
365	752	895
366	754	892
367	755	889
368	759	889
369	761	886
370	763	885
371	764	882
372	766	879
373	768	877
374	769	874
375	771	872
376	773	869
377	774	867
378	778	867
379	781	865
380	785	865
381	787	863
382	790	862
383	794	863
384	796	860
385	797	857
386	799	855
387	800	852
388	806	854
389	809	853
390	810	850
391	812	847
392	813	845
393	815	842
394	817	839
395	818	837
396	820	834
397	821	832
398	823	829
399	824	826
400	826	824
401	827	821
402	829	819
403	831	816
404	832	814
405	834	811
406	835	808
407	837	806
408	838	803
409	841	802
410	842	799
411	845	798
412	847	796
413	849	793
414	850	791
415	852	788
416	854	786
417	855	783
418	857	781
419	858	778
420	860	776
421	865	776
422	866	774
423	868	772
424	870	769
425	872	767
426	878	768
427	882	769
428	886	768
429	888	766
430	890	764
431	893	762
432	895	760
433	896	758
434	898	755
435	900	753
436	901	750
437	903	748
438	905	746
439	906	743
440	908	741
441	909	738
442	911	736
443	913	733
444	914	731
445	916	728
446	917	726
447	919	724
448	921	721
449	922	719
450	924	716
451	925	714
452	927	711
453	928	709
454	930	706
455	931	704
456	933	701
457	934	699
458	936	697
459	937	694
460	939	692
461	940	689
462	942	687
463	943	684
464	945	682
465	947	680
466	948	677
467	950	675
468	952	673
469	954	671
470	957	670
471	959	668
472	962	666
473	963	664
474	965	661
475	966	659
476	968	657
477	970	654
478	971	652
479	973	650
480	974	647
481	976	645
482	977	643
483	979	640
484	980	638
485	982	635
486	983	633
487	985	631
488	986	628
489	988	626
490	989	624
491	991	621
492	992	619
493	994	617
494	996	615
495	997	612
496	999	610
497	1000	608
498	1002	605
499	1003	603
500	1005	601
501	1006	598
502	1008	596
503	1009	594
504	1011	591
505	1012	589
506	1014	587
507	1015	584
508	1017	582
509	1018	580
510	1020	578
511	1021	575
512	1023	573
513	1024	571
514	1026	568
515	1027	566
516	1028	564
517	1030	562
518	1032	559
519	1033	557
520	1035	555
521	1036	553
522	1037	550
523	1039	548
524	1040	546
525	1042	544
526	1043	541
527	1045	539
528	1046	537
529	1048	535
530	1049	532
531	1051	530
532	1052	528
533	1054	526
534	1055	524
535	1057	521
536	1058	519
537	1060	517
538	1061	515
539	1063	512
540	1064	510
541	1066	508
542	1067	506
543	1069	504
544	1070	501
545	1072	499
546	1073	497
547	1075	495
548	1076	493
549	1078	490
550	1079	488
551	1081	486
552	1082	484
553	1084	482
554	1085	480
555	1087	478
556	1088	475
557	1090	473
558	1091	471
559	1093	469
560	1094	467
561	1096	465
562	1097	462
563	1099	460
564	1100	458
565	1102	456
566	1103	454
567	1105	452
568	1106	450
569	1108	447
570	1109	445
571	1111	443
572	1112	441
573	1113	439
574	1115	437
575	1116	435
576	1119	433
577	1120	431
578	1122	429
579	1123	426
580	1125	424
581	1126	422
582	1128	420
583	1129	418
584	1131	416
585	1132	414
586	1134	412
587	1135	410
588	1137	408
589	1138	405
590	1140	403
591	1141	401
592	1143	399
593	1144	397
594	1146	395
595	1147	393
596	1149	391
597	1151	389
598	1152	387
599	1154	385
600	1155	383
601	1157	381
602	1158	379
603	1159	377
604	1161	374
605	1162	372
606	1164	370
607	1166	368
608	1167	366
609	1168	364
610	1170	362
611	1171	360
612	1173	358
613	1174	356
614	1176	354
615	1177	352
616	1179	350
617	1180	348
618	1182	346
619	1183	344
620	1185	342
621	1186	340
622	1188	338
623	1189	336
624	1191	334
625	1192	332
626	1194	330
627	1195	328
628	1197	326
629	1198	324
630	1200	322
631	1201	319
632	1203	317
633	1205	316
634	1206	314
635	1208	312
636	1209	310
637	1211	307
638	1212	305
639	1213	303
640	1215	301
641	1217	300
642	1218	298
643	1220	296
644	1221	294
645	1223	292
646	1224	290
647	1226	288
648	1227	286
649	1229	284
650	1230	282
651	1232	280
652	1233	278
653	1235	276
654	1236	274
655	1238	272
656	1239	270
657	1241	268
658	1242	266
659	1244	264
660	1245	262
661	1246	260
662	1248	258
663	1250	256
664	1251	254
665	1253	252
666	1254	250
667	1256	248
668	1257	246
669	1259	244
670	1260	242
671	1262	240
672	1263	238
673	1265	236
674	1266	234
675	1268	232
676	1269	230
677	1270	229
678	1272	227
679	1274	225
680	1275	223
681	1277	221
682	1278	219
683	1280	217
684	1281	215
685	1283	213
686	1284	211
687	1286	209
688	1287	207
689	1289	205
690	1290	203
691	1292	201
692	1293	200
693	1295	198
694	1296	196
695	1298	194
696	1299	192
697	1301	190
698	1302	188
699	1303	186
700	1305	184
701	1306	182
702	1308	180
703	1309	178
704	1311	176
705	1312	175
706	1314	173
707	1315	171
708	1317	169
709	1318	167
710	1320	165
711	1321	163
712	1323	161
713	1324	159
714	1326	157
715	1327	156
716	1329	154
717	1330	152
718	1332	150
719	1333	148
720	1335	146
721	1336	144
722	1338	142
723	1339	140
724	1341	138
725	1342	137
726	1344	135
727	1345	133
728	1347	131
729	1348	129
730	1350	127
731	1351	125
732	1353	123
733	1354	121
734	1356	120
735	1357	118
736	1359	116
737	1360	114
738	1362	112
739	1363	110
740	1365	108
741	1366	106
742	1368	105
743	1372	103
744	1376	101
745	1377	99
746	1379	97
747	1380	96
748	1382	94
749	1383	92
750	1385	90
751	1386	88
752	1388	86
753	1389	84
754	1391	83
755	1392	81
756	1394	79
757	1395	77
758	1397	75
759	1399	73
760	1400	71
761	1401	70
762	1403	68
763	1404	66
764	1406	64
765	1407	62
766	1409	60
767	1410	58
768	1412	57
769	1413	55
770	1415	53
771	1416	51
772	1417	49
773	1419	47
774	1421	45
775	1422	44
776	1424	42
777	1425	40
778	1426	38
779	1428	36
780	1430	34
781	1431	33
782	1433	31
783	1434	29
784	1436	27
785	1437	25
786	1439	23
787	1440	21
788	1442	20
789	1443	18
790	1445	16
791	1446	14
792	1448	12
793	1449	10
794	1451	9
795	1452	7
796	1453	5
797	1455	3
798	1456	1
799	1458	0
