iter	Passed	Remaining
0	100	80218
1	111	44581
2	378	100677
3	499	99340
4	775	123330
5	777	102865
6	779	88280
7	796	78814
8	798	70203
9	800	63270
10	803	57632
11	806	52978
12	809	49019
13	814	45702
14	816	42747
15	819	40151
16	821	37856
17	826	35890
18	830	34150
19	832	32479
20	835	30995
21	837	29605
22	841	28424
23	843	27277
24	845	26214
25	847	25219
26	849	24315
27	851	23480
28	854	22707
29	857	22012
30	859	21312
31	861	20669
32	862	20053
33	864	19486
34	866	18949
35	867	18414
36	870	17946
37	872	17500
38	874	17067
39	876	16656
40	878	16267
41	880	15887
42	881	15524
43	883	15179
44	887	14891
45	892	14626
46	896	14362
47	901	14116
48	904	13864
49	906	13591
50	909	13350
51	910	13102
52	912	12863
53	914	12637
54	916	12414
55	920	12232
56	922	12024
57	925	11834
58	926	11636
59	928	11447
60	931	11283
61	932	11104
62	934	10935
63	938	10797
64	940	10639
65	942	10480
66	944	10327
67	945	10177
68	947	10035
69	948	9895
70	950	9757
71	952	9628
72	954	9507
73	956	9380
74	957	9256
75	959	9136
76	961	9032
77	968	8964
78	975	8903
79	980	8824
80	983	8733
81	987	8647
82	991	8563
83	995	8486
84	999	8408
85	1005	8348
86	1008	8261
87	1012	8192
88	1014	8107
89	1018	8036
90	1024	7978
91	1028	7914
92	1031	7841
93	1036	7785
94	1042	7739
95	1048	7689
96	1051	7619
97	1055	7560
98	1060	7507
99	1062	7440
100	1065	7373
101	1067	7307
102	1069	7239
103	1072	7176
104	1074	7112
105	1078	7063
106	1082	7011
107	1084	6951
108	1087	6893
109	1092	6855
110	1097	6810
111	1101	6764
112	1103	6708
113	1106	6660
114	1109	6606
115	1111	6552
116	1113	6500
117	1117	6457
118	1119	6407
119	1121	6355
120	1124	6308
121	1127	6266
122	1131	6227
123	1137	6201
124	1142	6167
125	1148	6143
126	1154	6120
127	1161	6099
128	1168	6076
129	1174	6054
130	1182	6037
131	1188	6014
132	1194	5988
133	1200	5965
134	1206	5943
135	1212	5921
136	1219	5900
137	1225	5879
138	1231	5858
139	1237	5831
140	1243	5810
141	1249	5789
142	1255	5767
143	1261	5747
144	1267	5726
145	1273	5705
146	1280	5689
147	1286	5669
148	1295	5660
149	1302	5642
150	1310	5632
151	1317	5615
152	1323	5596
153	1332	5590
154	1344	5593
155	1347	5562
156	1349	5525
157	1352	5493
158	1353	5457
159	1355	5422
160	1359	5394
161	1361	5360
162	1367	5342
163	1372	5322
164	1379	5308
165	1382	5280
166	1386	5253
167	1387	5220
168	1391	5194
169	1392	5161
170	1394	5129
171	1397	5100
172	1399	5070
173	1400	5038
174	1402	5009
175	1405	4982
176	1407	4954
177	1410	4927
178	1411	4897
179	1414	4873
180	1416	4844
181	1418	4816
182	1420	4790
183	1425	4772
184	1430	4754
185	1434	4735
186	1439	4718
187	1441	4691
188	1443	4665
189	1445	4639
190	1452	4630
191	1455	4609
192	1457	4584
193	1459	4559
194	1461	4532
195	1462	4507
196	1464	4481
197	1465	4456
198	1467	4431
199	1469	4407
200	1471	4385
201	1473	4362
202	1477	4344
203	1479	4321
204	1481	4299
205	1483	4277
206	1485	4254
207	1488	4235
208	1491	4216
209	1493	4195
210	1494	4173
211	1496	4151
212	1500	4134
213	1506	4125
214	1509	4107
215	1516	4100
216	1518	4079
217	1520	4058
218	1522	4038
219	1525	4020
220	1528	4003
221	1530	3984
222	1532	3964
223	1533	3944
224	1535	3923
225	1538	3907
226	1540	3887
227	1543	3872
228	1545	3854
229	1547	3836
230	1550	3818
231	1553	3802
232	1558	3791
233	1561	3777
234	1563	3758
235	1565	3740
236	1568	3726
237	1572	3713
238	1576	3701
239	1579	3684
240	1581	3668
241	1585	3655
242	1589	3643
243	1591	3627
244	1593	3610
245	1595	3593
246	1598	3578
247	1601	3564
248	1603	3548
249	1605	3533
250	1608	3518
251	1610	3503
252	1613	3488
253	1616	3475
254	1619	3460
255	1623	3450
256	1625	3434
257	1627	3420
258	1631	3407
259	1633	3392
260	1636	3379
261	1638	3365
262	1640	3350
263	1643	3336
264	1646	3324
265	1649	3311
266	1651	3297
267	1654	3283
268	1656	3269
269	1658	3255
270	1661	3242
271	1664	3230
272	1667	3219
273	1670	3206
274	1672	3193
275	1675	3180
276	1677	3166
277	1679	3154
278	1681	3140
279	1685	3129
280	1686	3115
281	1688	3102
282	1691	3090
283	1694	3078
284	1697	3066
285	1700	3055
286	1702	3042
287	1704	3029
288	1707	3018
289	1709	3006
290	1711	2994
291	1714	2982
292	1717	2972
293	1721	2962
294	1724	2952
295	1727	2941
296	1730	2930
297	1732	2919
298	1735	2907
299	1738	2898
300	1740	2885
301	1743	2874
302	1745	2863
303	1759	2871
304	1846	2996
305	1859	3001
306	1863	2992
307	1948	3112
308	2286	3633
309	2290	3621
310	2302	3619
311	2304	3604
312	2305	3587
313	2307	3571
314	2308	3554
315	2310	3538
316	2312	3522
317	2313	3507
318	2315	3491
319	2317	3475
320	2318	3460
321	2320	3444
322	2322	3429
323	2323	3413
324	2325	3399
325	2327	3384
326	2331	3372
327	2336	3362
328	2340	3350
329	2344	3339
330	2349	3328
331	2352	3315
332	2355	3302
333	2358	3290
334	2363	3280
335	2366	3267
336	2368	3253
337	2369	3239
338	2371	3225
339	2373	3211
340	2375	3198
341	2377	3183
342	2379	3169
343	2382	3157
344	2384	3144
345	2387	3132
346	2389	3119
347	2391	3106
348	2393	3092
349	2394	3078
350	2396	3065
351	2397	3051
352	2399	3038
353	2400	3024
354	2402	3011
355	2403	2997
356	2405	2984
357	2406	2971
358	2407	2957
359	2409	2944
360	2412	2933
361	2413	2920
362	2415	2907
363	2416	2894
364	2418	2881
365	2420	2869
366	2421	2857
367	2423	2844
368	2424	2831
369	2426	2820
370	2428	2807
371	2429	2795
372	2433	2786
373	2436	2775
374	2439	2764
375	2441	2753
376	2443	2742
377	2446	2731
378	2448	2719
379	2449	2707
380	2451	2696
381	2452	2684
382	2454	2672
383	2455	2660
384	2457	2648
385	2458	2637
386	2463	2629
387	2465	2618
388	2467	2607
389	2470	2597
390	2476	2590
391	2479	2580
392	2480	2569
393	2482	2558
394	2484	2547
395	2485	2535
396	2487	2524
397	2488	2513
398	2492	2505
399	2494	2494
400	2496	2483
401	2497	2473
402	2500	2463
403	2502	2452
404	2503	2441
405	2506	2431
406	2510	2423
407	2514	2415
408	2515	2404
409	2516	2394
410	2518	2383
411	2520	2373
412	2521	2362
413	2522	2352
414	2524	2342
415	2526	2331
416	2529	2322
417	2531	2313
418	2533	2303
419	2534	2293
420	2535	2282
421	2537	2273
422	2539	2262
423	2540	2252
424	2541	2242
425	2543	2232
426	2544	2222
427	2546	2213
428	2549	2204
429	2554	2198
430	2557	2189
431	2559	2180
432	2564	2173
433	2568	2166
434	2571	2158
435	2573	2148
436	2576	2140
437	2578	2130
438	2579	2121
439	2583	2113
440	2585	2105
441	2588	2096
442	2589	2086
443	2591	2077
444	2593	2068
445	2594	2059
446	2596	2050
447	2600	2042
448	2601	2033
449	2603	2024
450	2608	2018
451	2609	2009
452	2610	1999
453	2612	1990
454	2613	1981
455	2617	1974
456	2618	1965
457	2620	1957
458	2622	1948
459	2625	1940
460	2626	1931
461	2628	1922
462	2629	1914
463	2631	1905
464	2632	1896
465	2634	1888
466	2636	1879
467	2637	1871
468	2638	1862
469	2640	1853
470	2641	1845
471	2643	1836
472	2647	1829
473	2648	1821
474	2650	1813
475	2651	1804
476	2652	1796
477	2654	1788
478	2655	1779
479	2657	1771
480	2658	1763
481	2660	1755
482	2662	1747
483	2663	1739
484	2665	1730
485	2666	1722
486	2667	1714
487	2669	1706
488	2670	1698
489	2675	1692
490	2681	1687
491	2684	1680
492	2686	1673
493	2688	1665
494	2689	1657
495	2690	1649
496	2692	1641
497	2694	1633
498	2695	1626
499	2697	1618
500	2698	1610
501	2700	1602
502	2702	1595
503	2704	1588
504	2705	1580
505	2707	1572
506	2709	1565
507	2710	1558
508	2712	1550
509	2713	1543
510	2715	1535
511	2719	1529
512	2721	1522
513	2722	1514
514	2724	1507
515	2725	1500
516	2727	1492
517	2728	1485
518	2730	1478
519	2732	1471
520	2734	1464
521	2736	1457
522	2738	1450
523	2741	1443
524	2742	1436
525	2749	1432
526	2756	1427
527	2761	1422
528	2766	1417
529	2771	1411
530	2774	1405
531	2781	1401
532	2785	1395
533	2789	1389
534	2796	1385
535	2803	1380
536	2808	1375
537	2813	1370
538	2815	1363
539	2818	1357
540	2823	1351
541	2826	1345
542	2832	1340
543	2835	1334
544	2839	1328
545	2841	1321
546	2844	1315
547	2848	1309
548	2852	1303
549	2855	1297
550	2858	1291
551	2864	1286
552	2866	1280
553	2870	1274
554	2873	1268
555	2878	1263
556	2880	1256
557	2882	1250
558	2887	1244
559	2889	1238
560	2892	1232
561	2895	1226
562	2900	1221
563	2902	1214
564	2904	1208
565	2907	1202
566	2909	1195
567	2912	1189
568	2916	1183
569	2918	1177
570	2922	1172
571	2925	1166
572	2929	1160
573	2932	1154
574	2934	1148
575	2936	1142
576	2940	1136
577	2943	1130
578	2946	1124
579	2949	1118
580	2951	1112
581	2956	1107
582	2960	1101
583	2963	1095
584	2967	1090
585	2970	1084
586	2975	1079
587	2983	1075
588	2987	1070
589	2989	1064
590	2991	1057
591	2994	1051
592	2997	1046
593	3002	1041
594	3006	1035
595	3012	1031
596	3016	1025
597	3020	1020
598	3022	1014
599	3024	1008
600	3026	1002
601	3028	996
602	3030	990
603	3033	984
604	3035	978
605	3039	973
606	3042	967
607	3044	961
608	3047	955
609	3049	949
610	3052	944
611	3054	938
612	3056	932
613	3059	926
614	3062	921
615	3068	916
616	3072	911
617	3076	905
618	3078	900
619	3081	894
620	3084	889
621	3087	883
622	3092	878
623	3097	873
624	3102	868
625	3106	863
626	3109	858
627	3115	853
628	3120	848
629	3126	843
630	3132	838
631	3136	833
632	3140	828
633	3144	823
634	3147	817
635	3152	813
636	3155	807
637	3159	802
638	3162	796
639	3166	791
640	3170	786
641	3172	780
642	3177	775
643	3183	771
644	3190	766
645	3197	762
646	3204	757
647	3209	752
648	3212	747
649	3216	742
650	3219	736
651	3223	731
652	3225	726
653	3227	720
654	3230	715
655	3234	710
656	3236	704
657	3240	699
658	3246	694
659	3347	710
660	3358	706
661	3370	702
662	3372	696
663	3384	693
664	3390	688
665	3397	683
666	3399	677
667	3405	673
668	3412	668
669	3506	680
670	3773	725
671	4028	767
672	4029	760
673	4031	753
674	4039	748
675	4041	741
676	4043	734
677	4044	727
678	4046	721
679	4048	714
680	4050	707
681	4052	701
682	4054	694
683	4056	687
684	4058	681
685	4059	674
686	4061	668
687	4063	661
688	4065	654
689	4067	648
690	4069	641
691	4073	635
692	4075	629
693	4079	623
694	4082	616
695	4087	610
696	4092	604
697	4096	598
698	4098	592
699	4101	585
700	4103	579
701	4104	573
702	4106	566
703	4108	560
704	4110	553
705	4111	547
706	4113	541
707	4114	534
708	4116	528
709	4119	522
710	4124	516
711	4126	510
712	4131	504
713	4133	497
714	4135	491
715	4136	485
716	4138	479
717	4141	472
718	4143	466
719	4148	460
720	4150	454
721	4154	448
722	4156	442
723	4158	436
724	4159	430
725	4161	424
726	4163	418
727	4166	412
728	4169	406
729	4171	400
730	4176	394
731	4178	388
732	4180	382
733	4183	376
734	4184	370
735	4186	364
736	4188	358
737	4189	351
738	4192	346
739	4194	340
740	4195	334
741	4196	328
742	4199	322
743	4204	316
744	4206	310
745	4208	304
746	4209	298
747	4211	292
748	4214	286
749	4215	281
750	4217	275
751	4218	269
752	4220	263
753	4221	257
754	4224	251
755	4226	245
756	4227	240
757	4229	234
758	4230	228
759	4232	222
760	4233	216
761	4234	211
762	4236	205
763	4238	199
764	4239	193
765	4241	188
766	4242	182
767	4244	176
768	4245	171
769	4246	165
770	4248	159
771	4249	154
772	4251	148
773	4254	142
774	4258	137
775	4261	131
776	4264	126
777	4266	120
778	4269	115
779	4271	109
780	4273	103
781	4276	98
782	4277	92
783	4279	87
784	4280	81
785	4282	76
786	4283	70
787	4284	65
788	4286	59
789	4288	54
790	4289	48
791	4291	43
792	4293	37
793	4299	32
794	4301	27
795	4307	21
796	4312	16
797	4314	10
798	4316	5
799	4320	0
