iter	Logloss
0	0.6895398736
1	0.6832343133
2	0.6792480428
3	0.6749768878
4	0.6702402169
5	0.6664313423
6	0.6634219527
7	0.6596885314
8	0.6551868582
9	0.6534010962
10	0.6497185097
11	0.6458343514
12	0.6438432623
13	0.6418241325
14	0.6389804333
15	0.6362722772
16	0.6340316164
17	0.6300463664
18	0.6268700842
19	0.624521369
20	0.620990064
21	0.617697217
22	0.6147645956
23	0.6113923252
24	0.6097806884
25	0.6082102056
26	0.6061212838
27	0.6050642643
28	0.6029477468
29	0.6012549048
30	0.5990969398
31	0.5968866522
32	0.5951706383
33	0.5942360648
34	0.5921056045
35	0.591325431
36	0.5901295772
37	0.5885494776
38	0.5871836292
39	0.5842317053
40	0.5832186354
41	0.5821754224
42	0.5812091005
43	0.5800273052
44	0.5793342479
45	0.5772324198
46	0.5761115827
47	0.5743762554
48	0.5729986946
49	0.5714623734
50	0.5687297676
51	0.5662690481
52	0.5644667559
53	0.5636140069
54	0.5621139751
55	0.5608091291
56	0.5589742597
57	0.5579638729
58	0.5570512428
59	0.553644153
60	0.5528860621
61	0.5502989773
62	0.5491472633
63	0.5478774316
64	0.5458816417
65	0.5446819805
66	0.5421799518
67	0.5410951944
68	0.5404660185
69	0.5397313953
70	0.5377698582
71	0.5372371079
72	0.5362091932
73	0.5353406827
74	0.532963137
75	0.5318705888
76	0.5302853762
77	0.5276980845
78	0.5268247896
79	0.5259017253
80	0.5237273728
81	0.5220869705
82	0.521021096
83	0.5182950572
84	0.5161762855
85	0.5152333872
86	0.5151604157
87	0.514623409
88	0.5139449851
89	0.5132916005
90	0.5115712844
91	0.5110037568
92	0.5101092366
93	0.5086148515
94	0.5082245971
95	0.5069093096
96	0.5058474444
97	0.5049219344
98	0.5035762273
99	0.5023003267
100	0.5004672187
101	0.4994168788
102	0.4986733441
103	0.4980910965
104	0.4974713148
105	0.4968455491
106	0.495732439
107	0.4948557908
108	0.4935612987
109	0.4917012441
110	0.4902410621
111	0.4898153591
112	0.4890080312
113	0.4884672775
